cleaned	prediction
are you out shopping today? you should wear a face covering if you can, to protect yourself and those around you from #coronavirus #stayalert 	1
netanyahu says public carelessness driving coronavirus infections up 	0
we love those triumphant scenes of covid19 patients leaving the icu alive. heres what you dont often see: washingtonpost.comhealth20200609coronavirusventilatorrehabilitation?arc404=true   ⊦	2
good news that further #coronavirus human vaccine trials begin next week. an encouraging step forward in our national effort. 	2
chicago mayor unveils $5 million coronavirus relief fund for undocumented immigrants, college students   	1
major relief brought in gst filings for small taxpayers in wake of coronavirus pandemic. 	2
coronavirus : where is the science behind social distancing? dr vernon coleman mb chb dsc frsa 	1
one of the greatest assets we have to stop the coronavirus spreading is you. please stay local, making sure that you⊙re keeping 2 metres apart, and washing your hands regularly, especially when you return home. with your help, we can #keepwalessafe . 	2
near 80% of people would personally do as much for climate as they have for coronavirus . via @forbes 	1
not only have there been no deaths from #coronavirus in scotland in last 24 hours, there are now only 7 people with covid still in intensive care in whole country. none outside lothian praise where praise is due to nhs, carers and .. yes ... @scotgov	2
corona virus has become less dangerous, the corona vaccine will come soon 	2
# eliminateptmbla dawar is seen telling the villagers that coronavirus is ⊘nothing⊙ and that it is ⊘just a way to make money @tmrocks	1
i worry that the recognition we gave to passing 100,000 americans killed by coronavirus also marked the end of many peoples continuing concern about the pandemic. 13,000 have died just since that moment. this isnt done. we cant just stick our heads in the sand.	0
the coronavirus is worse than ever in alabama. adph shows 848 new cases since yesterday, the most in a day since the start of the pandemic. it also pushes the 7day average of new daily cases to an alltime high of nearly 530 the first time its been over 500. 	0
90% of the uk coronavirus cases traced back to holiday hotspots spain, france, belgium and italy. at the height of the pandemic, there were no quarantine rules for arrivals and still no tests. the govt negligence caused thousands of avoidable deaths. 	0
illegal immigration is a huge problem that no one is talking about because of corona virus . we need to bring attention back to our borders and back to the crisis of illegal immigration. our immigration system is broken and it must be fixed! #putsouthafricansfirstnow	0
we just broke the downtrend on #covid19 in america. #coronavirus #protests 	0
the novel coronavirus spreads mainly via airborne transmission and wearing a mask is the most effective way to stop persontoperson spread, according to a new study  	1
kudlow to @jaketapper : ⊜hospitalizations may be going up but that⊙s because elected procedures are now permitted.⊝ texas has reported the number of those hospitalized with coronavirus is at an alltime high. arizona warned that its icu⊙s are filling up with covid19 cases.	0
this is our money. and these kleptocrats refuse to say where the money went. we are not talking about $5 million. or even $500 million. we are talking about $511 billion they refuse to say who received it. 	0
really positive suggestions here in the neus 10point national education recovery plan   ⊦	2
the coronavirus is still killing thousands of americans every week, but trump isnt very interested  	0
in wales, we⊙re making sure children who receive free school meals will receive this support now and through the summer holidays. for further information on eligibility and how to apply, please see below  	1
last night on @maddow i had the chance to lay out where this #covid19 crisis was back in february, where the #pandemic is now and, tragically, where were headed. 	1
new zealand, an astonishingly beautiful country free from coronavirus covid19. 	2
covid19 has taken away everything we had our freedom, our peace of mind and even our lives. now, the time has come to take revenge on the coronavirus by digesting it, literally. #coronafreebharatwithpatanjali 	0
hillary clinton questions how anybody with a beating heart and a working mind can still support trump after disastrous coronavirus and protest response 	0
kansas gop leadership just successfully blocked medicaid expansion for another legislative session ⊔ in the middle of a pandemic and economic crisis. that⊙s so deeply irresponsible. #kssen #ksleg 	0
oxford scientists working on coronavirus vaccine near breakthrough on antibody treatment 	2
coronavirus live news: new zealand covid19 free as global cases pass 7 million 	1
the good news is the coronavirus can be almost entirely contained with a national strategy. vietnam, czech republic, new zealand, italy, germany, s korea, hong kong have all showed coordinated strategy works. 16	2
if we had a president who told people to wear masks, less americans would end up dying of coronavirus	0
trump⊙s mishandling of #covid19 and his senseless economic policies led us into a recession and brought an end to the longest economic expansion in american history. this is his legacy.  	0
⊜vietnam literally declared war on the coronavirus . the military was mobilized for health care missions, and their bases converted to mandatory quarantine sites,⊝ reports special correspondent mike cerre  	1
how corona virus ruined whole year   ⊦	0
latham, ny, united states 06.11.2020 ny responds to coronavirus with 3,620 troops. 	1
new zealand prime minister jacinda ardern has announced that almost all coronavirus restrictions in the country will be lifted tomorrow, after it reported no active cases.  	2
just in: moderna plans to start its phase 3 coronavirus vaccine trial in july, @megtirrell reports.   	2
