text	label		
government has introduced the biggest stimulus package in the history of the country to help the nation in this difficult time amid coronavirus  pandemic  	1		
you are soulless and cruel. my friend is grieving losing both of her in laws from coronavirus in weeks of each other as a direct result of gov cuomos directives and you assume she doesnt know health policy because she knows the science of meteorology	0		
if covid doesnt kill us woke will. everything is so serious now were afraid to laugh afraid to make the joke in case we end up in jail or as social pariah writes  	0		
its good to see that government has postponed all the ssc examinations which are going to held in the month august   	2		
3 covid deaths recorded today in all of italy. its the lowest number of recorded deaths since the outbreak in february. italys full lockdown of 2 months, ongoing high adherence to mask wearing has proven effective   	2		
its time to block those airways to reduce oxygen, to weaken those immune systems, to get you nice and vulnerable for that second wave coming this fall. get ready for more fake testing, fake numbers in the news, more motorcycle crash covid deaths	0		
these 2 things must not be forgotten reality winner is still in prisonm, the usa has about 25 of the worlds covid cases and deaths despite having less than 5 of the global population, trump locks up heroes and lets his people die 	0		
so much respect to marcus rashford for all the work he has done for charities and children during the coronavirus  pandemic. a brilliant young man	2		
the office of vice president leni robredo releases its full letter addressed to presidential spokesperson harry roque on suggestions for  covid 19 response	1		
marks spencer to cut hundreds of jobs as coronavirus hits sales  	0		
this foreign vaccing shows promising results, offers ray of hope. how is it going to benefit india?	2		
this guy has no sense of empathy or concern for people biden told msnbcs joy reid 	0		
even stephen king couldnt make up a story this horrifying. trump and coronavirus what a scary and deadly combination  	0		
im coronavirus free 14 days since first symptoms	2		
repeat after me i refuse to watch trumps coronavirus task force tv show	0		
at least 45 hospitals in florida had no available beds in intensive care units as of sunday afternoon as the state has emerged as the new epicenter of the us  coronavirus  pandemic  	0		
so is the president going to do anything about coronavirus or is it just too boring for him	0		
encouraging paper in the lancet on the university of oxfords covid vaccines trial. long way to go yet but this is an important development and good result	2		
you thought a mask was inconvenient wait until youre told that you cannot enter a store without proof of the covid 19 vaccine, wait until you cannot go to public events or travel without proof of having received this vaccine	0		
former pandemic officials call trumps covid response a national disaster vanity fair  	0		
13 million public education jobs could be at risk if it doesnt move to prioritize funding for state and local governments in its next coronavirus stimulus package  	0		
because of donald trumps negligence and incompetence more than 140000 people have died. we have over 35 million cases of covid 19, over 20 million americans are out of work, and yet hes patting himself on the back?? unbelievable	0		
ceo of the rwanda development board said the country has a formula for dealing with the coronavirus  including almost 2000 contact tracers and thousands of tests every day. still she said fighting the pandemic is a work in progress  	1		
covid 19 shock as niger assembly discovers food other items meant for palliative stacked in secret warehouses in niger   	1		
its okay if you cant start a personal project while a global pandemic is happening. everyones  experience through this time is their own. stay positive	2		
breaking good news alert new zealand has announced it no longer has any patients in hospital being treated for coronavirus. it comes on the fifth straight day where no new cases have been reported. this is what winning looks like	2		
isnt it time we take big money out of politics please help send me to washington to continue to fight for freedom liberty and the american dream   	1		
dr fauci will throw out the ceremonial first pitch at thursdays  home opener. the team statement calls him a nats superfan and a true champion for our country during the covid 19 pandemic and throughout his distinguished career  	2		
just in a coronavirus vaccine the university of oxford is developing with astrazeneca plc showed promising results in early human testing a sign of progress in the highstakes pursuit of a shot to defeat the pathogen 	2		
20 times trump said the coronavirus would go away   	1		
reported u.s. coronavirus deaths  feb 19 0 deaths mar 19 195 deaths apr 19 40677 deaths may 19 91921 deaths jun 19 119112 deaths jul 19 140500 deaths	1		
since the signing of schengen treaty 35 years ago today, citizens have learned to enjoy the value of freedom of movement in the eu. i am happy that after the restrictions imposed by the coronavirus pandemic, borders are now reopening across the schengen area and the eu	2		
a florida father is hospitalized on a ventilator with covid 19 after his 21 year old son went out with friends and apparently infected the entire family his wife says  	0		
breaking joe biden leads pres trump on trust to handle the coronavirus pandemic by a 20point margin. new poll finds the two had been virtually tied on the issue in late march 	1		
great article in the irish daily mail continuing the fantastic coverage long covid is getting. thanks to everyone who helps raise awareness by being interviewed sharing articles etc it all helps  	2		
the president has not just given up on efforts to combat  coronavirus  hes actively attempting to block efforts to fight it since he likes to call himself a wartime president. hes just surrendered and offered aid and comfort to the enemy treason  	0		
britain has seen so many die during the  covid  pandemic  will have a european deal that will kick a bleeding country when its down because johnson forced competent principled men and women out of the conservative party or left them on the backbenches   	0		
this weekend covid didnt quit but too many nyers did. this is not ny tough and it sure isnt ny smart!! wear a mask, social distance it is not worth the risk  	0		
if masks block covid put masks on prisoners and stop releasing them. maybe we wouldnt have the 300 increase in violent crime	0		
please just wear a mask we can do this 	2		
in nigeria they asked him to come defend some monies spent on covid19 management 	1		
hey guys so i have a bagel business based in east london dagenham if you could like and retweet that would be great! i started in march this year but stopped due to covid and i thank god that the orders have been coming in since opening back up 2 weeks ago. because of your help i can keep my business up and running!!	2		
be gentle with yourself coronavirus and self quarantining effects everyone differently 	1		
60 million infections prevented in the u.s. 285 million in china. 530 million in total across the six countries studied. public health measures have saved millions of lives	2		
bahamas closes borders to us tourists after covid 19 cases spike others still welcomed  	1		
early results from a new study on mental health among journalists covering the pandemic were so worrisome that the reuters institute for the study of journalism decided to publish the preliminary data 	0		
weve seen two live interview polls this week that have biden 15 among registered voters. the other live interview poll had biden 11. the downward trend for trump in these polls can be directly tied to a declining approval of him on coronavirus 	1		
 breaking barbados records additional coronavirus case involves a 76 yo bajan arriving from uk yesterday. has since been isolated.  july 19th barbados covid  by the numbers confirmed cases 105, tests completed 9495, recovered 91, deaths 7  	1		
large stores like walmart, sams club, and kohls have made face masks mandatory in their stores to help prevent a rise in  coronavirus  cases. many states have already mandated the use of masks but florida the new  coronavirus hotspot in the us still hasnt  	1		
the countys determination to fight coronavirus saw them procure icu beds to accommodate the patients incase of the new infections rise. and it has proven effective in saving countless lives 	2		
not trying to engage in conspiracy talk but my friend was tested for covid yesterday and literally the test was just a doctor asking what her favorite movie was she said breakfast club he said you have covid 	0		
good morning titans  i will be presenting about  the global impact of covid 19 today at 12pm. make sure you are following   to see the presentation  please come through for your girl  	1		
the president is about to resume his coronavirus press briefings which is great because america needs a daily 2 hour infomercial for whatever bleach the president has recently invested in	2		
fuck covid     	0		
as the no of  covid 19 cases are rapidly increasing in the country some esteemed university which are so adamant to risk the lives of the students have allotted exam centers but who will take the responsibility of our safety at those center	0		
trump is letting covid rage because hed rather use the briefings as campaign rallies than actually contain the outbreak  	0		
in the words of my friend the late great the devil went down to georgia  	1		
michael v fondly known as bitoy announced on his youtube channel that he tested positive for  covid 19  	1		
perhaps our number one problem today is  covid   	1		
record increase of 40000 coronavirus cases takes indias tally beyond 11 lakh. death toll rises to 27497 with 681 new fatalities. still ugc wants to conduct exams are these statistics not enough to cancel them?? Irresponsible	0		
minnesota continues along a generally positive covid  path  	2		
today is the day my  covid  hibernation phase must end as far as exercise is concerned that is  	1		
if there was a mistake to be made in this pandemic america has made it 	0		
as we learn to live with coronavirus getting children back to school has to be our 1 priority by      	1		
watching my kid go into the dentist alone this is what health care looks like during  covid  i appreciate the safety protocols but as a parent this feels awful  	0		
im in the hospital again i was in the covid unit for over a week got out now i have blood clots in my lungs legs and arm. covid is not like the flu	0		
sweden never imposed a lockdown and now has a coronavirus mortality rate much higher than the us and could face a devastating second wave  	0		
masses of tourists in venice during  coronavirus   	1		
im sick of being told to protect people whove made no effort to protect themselves. i wont be wearing a compliance muzzle. if you think covid will finish you off then dont go out  	0		
thank you to our heros! police honor health care professionals risking their lives during the covid pandemic	2		
taco bell is removing some menu items like nachos supreme due to covid  pandemic impact  	1		
a must read for all factory managers how have you had to adapt to the recent challenges of social distancing? heres some great advice to look after employee wellbeing whilst still maintaining capacity and productivity       	2		
the coronavirus wont last forever  	2		
mailin voting is the exact same thing as absentee ballots which trump and his entire family uses. everyone should be able to use mailin voting this november to protect themselves and their families during the  covid 19 pandemic	1		
a recent study found that the use of masks and face coverings has been the most effective way to reduce person to person spread of  coronavirus. here are the states that require the use of masks or face coverings in public settings  	2		
taking it one day at a time we can get through this and we will get through this with the help of each other	2		
20 somethings are getting sick from covid 19 and staying sick. their stories are a warning from millennials to millennials dont play the odds with coronavirus because the disease could permanently damage your body  	0		
it is a promising vaccine candidate and if they succeed it may be ready by december 2020 then our children can safely go back to classes. may god heal the world  	2		
other countries responded quickly and aggressively to combat the spread of  coronavirus they have seen much success	2		
if masks prevent covid why are we locking down businesses and releasing prisoners?? you democrats are so full of sht i can even smell you with my mask on	0		
all signs are pointing to school reopenings becoming a public health disaster again. it didnt have to be this way 	0		
greysanatomy ep confirms season 17 will address coronavirus pandemic  	1		
brain research shows the arts promote mental health during self isolation due to coronavirus. many are turning to the arts	2		
white house and senate gop at odds over cdc funding for testing and tracing cnnpolitics 	1		
good for her, good for us, good for the truth. i hope the media covers this its a great story. fired florida scientist builds coronavirus site showing far more cases than state reports 	2		
trump admin pushing to block new money for testing tracing and cdc in upcoming coronavirus relief bill  	1		
in california fall and winter high school sports are moving to the spring due to  covid 19  	1		
official flag of 2020 coronavirus   	1		
if you think you dont know anyone who has had covid  think again you know me i had it in late march, early april. we werent sure because there werent enough tests now its verified today my blood work shows strong igg antibodies. it was awful wear a mask please    	0		
missouri governor mike parson these kids have got to get back to school and if they do get covid 19, which they will, and they will when they go to school, theyre not going to the hospital  theyre going to go home 	1		
briones says there are only 16 recorded deaths of children from  covid 19  	1		
can any government give guarantee for the lives of students if anyone tested positive for covid 19 after writing exams 	1		
the remarkable thing is that cdc  has openly admitted to faking their covid  cases and deaths and yet democrats still choose to believe them as being accurate. they are telling you it is a lie and you still believe	0		
another day, another achievement for our covid19 warriors at mmch covid care centre felicitation of discharged patients	2		
glad to hear the good news thank you everyone that was concerned about my son having coronavirus. after sending him to a private doctor we have found that he has tested negative	2		
breaking oxford university coronavirus vaccine safe and induces immune reaction early results show   	2		
folks just to let you know i have tested positive for covid 19. im doing good, no symptoms and my family is fine. all my close contacts have been informed. right now im in self isolation many thanks to royal media services management for its support. stay safe god bless  	2		
new  covid 19 data at 20200721 120001 am edt coronavirus  covid19 	1		
who wore it better? covid edition  	1		
productive meeting of the coronavirus task force today. we remain focused on opening up america again and ensuring that all states have the resources they need	2		
this is great news coronavirus oxford vaccine triggers immune response  	2		
a kentucky woman tested positive for coronavirus. now she and her husband are under house arrest and must wear ankle monitors after she refused to sign papers saying that she would self quarantine   	1		
facemask covid 19 this is brilliant advice 	2		
news india is at 3rd position in the world with more than 115 lakh coronavirus  cases and amit shah says we are at good position   	2		
just in michael v tests positive for covid 19  	1		
here are 10 signs you may have covid 19. shortness of breath, fever, dry cough, chills, body aches, sudden confusion, digestive issues, pink eye, loss of smell, taste, fatigue, headache, sore throat, congestion  	1		
we love those triumphant scenes of covid19 patients leaving the icu alive heres what you dont often see	2		
south dakota no lockdowns at any point, no mandatory masks. on apr 13 sd became the first and only state to implement a statewide trial to treat coronavirus with hydroxychloroquine provide prophylaxis. total cases 7862, recoveries 6891, active 855, active 1088, cfr 147  	1		
the  covid numbers are exaggerated. proven hcq is an effective treatment, proven cloth masks dont do shit, proven hillary actually colluded w russia, proven biden actually had a quid pro quo with ukraine, proven liberal elites are pedos, proven how are you still a democrat	0		
good news who says asymptomatic spread of covid is rare. i agree and it makes sense each cough may emit 3000 and sneeze 40000 droplets from a symptomatic patient	2		
the latest restaurant daily news  	1		
thats what happens when you are in the middle of a pandemic. dont forget to mention how 8 million have recovered from covid 19. your tweet is full of lies dems are the only ones who promote abortion that killed millions of black americans not whites	0		
i wonder if this digital marketing strategy slide was created pre or post covid     	1		
grandpa is home thank you to everyone for your kind thoughts and prayers. god is good!!!!	2		
back of the envelope math preventing 62 million u.s. infections likely saved a quarter of a million lives and maybe far more by preventing health system collapse keep. wearing your mask!!	2		
out of boredom during covid im going to post a bus pic of the day no caption starting today  	1		
covid 19 is real  	1		
covid testing is decreased or delayed in black hispanic populations . test is required for pharmacotherapies in some cases. early identification is necessary for eligibility. test is often needed for enrollment in covid research studies. see the problem?? inequality at its finest	0		
successfully recovered from covid!! what a relief	2		
getting tested today for coronavirus  because of mild symptoms. its super efficient and easy so far	2		
i was a military covid planner trust me texas is in deep deep trouble    	0		
if trump was as tough on covid as he is on portland graffiti maybe there wouldnt be almost 140000 dead americans. trump get your priorities straight and wake up	0		
according to ispr the pakistan army is ready to deal with the situation caused by the coronavirus. according to the decisions of the national security committee the medical facilities of the pakistan army are ready to compete	2		
after testing positive but without showing any symptoms the health department requested she sign documents that will limit her traveling anywhere unless she calls the health department. first she chose to not sign  conspiracy theories	1		
breaking darwin tests positive for coronavirus   	1		
connecticut coronavirus testing flaw causing false positives  	0		
florida based grocery chain wont require masks citing we dont want to cause undue friction. florida is one of the hardest hit states in the u.s. coronavirus outbreak recently surpassing 338000 cases winndixie 	1		
has done tremendous job during this covid 19 pandemic and still doing without any leave. we perform our duties faithfully in this risky situation 	2		
in one south texas county 85 infants under the age of 1 have contracted the new coronavirus as the state struggles to contain a skyrocketing increase in cases  	0		
calling all sheep please see how dangerous covid is. wake the fuck up dan cock sucker andrews is full of shit  	0		
reopening schools will be much harder or impossible if covid continues to spread explosively. wear a mask correctly wash your hands watch your distance our kids future depends on it 3ws	0		
love all these articles about overcoming coronavirus anxiety. the best way would have been a competent government	2		
cdc acknowledges mixing up coronavirus testing data. another mistake designed to make covid outbreak appear worse than it is. folks what do we have to do to convince you???  they are gaslighting us to achieve political power    	0		
uk will be living with coronavirus for many years to come and vaccine unlikely to eliminate it for good experts say   	0		
covid has a lower death rate than the flu yet we dont mandate masks for the flu  so why are we doing it for covid?? oh right democrat fearmongering	0		
the monday front pages of the washington post and new york times are pressing their campaign to blame the president for the coronavirus. websites like the drudge report are promoting the propaganda as well. this is the issue they hope will elect biden	0		
news more than 15 tons of medical supplies to fight covid 19 arrive in venezuela from turkey 	1		
i got a covid test in brooklyn on monday they told me i should expect results in 35 days 	1		
so fauci is saying ny did it right are you kidding me??? he sent infected people to nursing homes. this is all a setup to run cuomo in bidens place	0		
 managing spread of coronavirus  are pregnant women with  coronavirus  at risk? to find out watch our webinar with dr m gupta amc president as he talks about the  coronavirus  infections  pregnancy  visit  	1		
it was not okay four years ago when donald trump said he might not accept the results of the election. when he says that now as president it is a dangerous affront to our democratic system and a slide toward totalitarianism we cannot take this lightly 	0		
great to be back in london to reaffirm the special relationship  we share with our closest ally. looking forward to meeting with   and   as we tackle our most pressing global issues in combating  covid 19 and addressing our shared security challenges  	2		
new zealand lifted all domestic coronavirus restrictions on monday after its final covid19 patient was given the all clear.  prime minister jacinda ardern revealing she danced around her living room when told about the milestone	2		
i wrote about the growing freakout that covid 19 immunity doesnt last more than a few weeks and vaccines might not work. this stuff is very complicated but my hope is my story will make you feel a little more informed and a lot less freaked out	1		
the nfl and nflpa agreed to daily covid 19 testing for the first 2 weeks of camp after which theyll look at positivity rates. if the rate drops below 5 for players and tier 1, tier 2 individuals theyll move to every other day. important deal as talks continue on other issues	1		
we are battling two wars both are killing us it also threatens to break apart our nation. covid  and racism are a deadly combination	0		
graphic how a family gathering turned deadly, ended up infecting 40 people with coronavirus   	0		
nothing like slowly choking to death from covid 19 while emergency services cant even get to your house in a hurricane. will anyone take any responsibility at all?  52traitors dont forget that list maybe someone will hold them responsible i dont have that power	0		
health authority order if you or someone in your house have tested positive for covid 19 you are hereby ordered to comply with the following requirements. failure to comply may result in criminal prosecution  	1		
when  puts our children at risk he puts all of us at risk. missourians deserve a better leader who will make their health and safety her priority 	0		
oxford scientists working on coronavirus  vaccine near breakthrough on antibody treatment    	2		
in covid his smart lock down was appreciated on the world level        	2		
the covid death rate in the us is five times the global average and one of the highest in the world. our schools and our economy will not be able to recover until we get the virus under control	0		
pleased to know that is covid  negative now and doing good  	2		
india is the third most worst country hit with covid. facing health care and economic crisis, instead of tackling the crisis, the govt wants to conduct exams in the crisis. if the exams are conducted it is going to add more miseries to the crisis	0		
christian happi is working in nigeria to develop covid19 tests. people might have thought that this work was impossible in africa but we are demonstrating that the continents scientists can generate crucial data in the global fight against covid19	2		
we had a great weekend at camp! it feels like the old normal when youre there like covid doesnt exist  	2		
if youve been tested for  covid 19 please stay at home while you await the results	1		
the giants, jets and rutgers will play their 2020 home games without fans because of the  coronavirus  pandemic news  	1		
biden rolls out plan to safely reopen schools amid the  coronavirus  pandemic  	1		
if yall leftists are so scared of inperson voting because of  covid 19 how bout we just postpone the election until it goes away for good	1		
everyday the  covid  patients are increasing and tomorrow 40000 cases have came in. what a fearful mental state we are along with failed software to conduct exam is also increasing day by day mental illnesses but who cares for students 	0		
highly anticipated oxford vaccine results are out human trials provoked exactly the immune response scientists wanted. side effects are minor and can be treated with paracetamol. top expert says possible restricted release by december. this is a step in the right direction for sure 	2		
30 thousand deaths in new york over 6 thousand  covid  patients shoved into nursing homes killing over 6000 elderly. id say new york didnt do the greatest job 	0		
breaking the blue jays have been denied approval by the canadian government to play in toronto amid the coronavirus pandemic. an official familiar with the matter told the associated press of the denial  	1		
this is so true. all of this are all part of the effect coronavirus has caused globally. i will be expressing educating you guys on this soon all ur support then will be greatly appreciated     	2		
one of the greatest assets we have to stop the  coronavirus spreading is you!! please stay local making sure that youre keeping 2 metres apart and washing your hands regularly especially when you return home. with your help we can keep wales safe!!!!	2		




















































































